Data;Poczatek;Koniec;Waga;Odleglosc;Cena
02-01-2017;Olsztyn;Torun;3527;167;206
03-01-2017;Torun;Plock;3666;112;280
04-01-2017;Plock;Ostroleka;4888;167;624
05-01-2017;Ostroleka;Suwalki;1099;167;390
07-01-2017;Lomza;Ciechanow;4881;118;219
08-01-2017;Ciechanow;Lomza;5851;113;160
09-01-2017;Lomza;Kuznica Bialostocka;5963;141;168
10-01-2017;Kuznica Bialostocka;Ostroleka;1364;179;533
11-01-2017;Ostroleka;Suwalki;1245;166;209
12-01-2017;Poznan;Gubin;3771;196;696
14-01-2017;Skierniewice;Tarnow;4522;300;1113
15-01-2017;Tarnow;Katowice;4588;148;494
16-01-2017;Radom;Konin;1952;267;602
17-01-2017;Konin;Torun;3318;110;422
20-01-2017;Kuznica Bialostocka;Ostroleka;3106;173;312
21-01-2017;Ostroleka;Olsztyn;5593;127;421
22-01-2017;Olsztyn;Ciechanow;5983;118;416
23-01-2017;Ciechanow;Olsztyn;5496;115;291
24-01-2017;Olsztyn;Lomza;4572;164;550
25-01-2017;Lomza;Ciechanow;4529;121;373
26-01-2017;Ciechanow;Olsztyn;4981;123;218
27-01-2017;Olsztyn;Torun;3808;163;655
28-01-2017;Torun;Pila;1359;130;346
29-01-2017;Kolbaskowo;Szczecin;2320;24;68
30-01-2017;Szczecin;Swinoujscie;2607;115;264
31-01-2017;Swinoujscie;Szczecin;3657;100;424
01-02-2017;Szczecin;Kostrzyn;5671;118;390
02-02-2017;Kostrzyn;Kolbaskowo;4871;126;185
03-02-2017;Kolbaskowo;Gorzow Wielkopolski;1686;102;167
04-02-2017;Gorzow Wielkopolski;Pila;5628;123;450
05-02-2017;Pila;Poznan;3295;103;346
06-02-2017;Jakuszyce;Kalisz;5291;273;520
07-02-2017;Kalisz;Piotrkow Trybunalski;5838;128;518
08-02-2017;Piotrkow Trybunalski;Konin;3319;154;314
09-02-2017;Gdansk;Torun;2152;190;406
10-02-2017;Torun;Pila;3810;135;221
11-02-2017;Pila;Koszalin;5713;128;376
12-02-2017;Koszalin;Pila;4163;128;257
13-02-2017;Pila;Czestochowa;3216;162;278
14-02-2017;Lomza;Chyzne;5060;550;1622
16-02-2017;Koszalin;Swinoujscie;2446;161;379
17-02-2017;Swinoujscie;Szczecin;3305;106;116
19-02-2017;Pila;Torun;1743;145;376
22-02-2017;Tarnow;Krosno;4053;146;441
23-02-2017;Katowice;Piotrkow Trybunalski;4905;157;392
25-02-2017;Plock;Torun;1624;111;221
27-02-2017;Kudowa-Slone;Jakuszyce;5326;171;263
28-02-2017;Elblag;Ciechanow;4398;225;400
01-03-2017;Kudowa-Slone;Opole;4494;143;252
02-03-2017;Opole;Bielsko-Biala;2136;139;522
03-03-2017;Bielsko-Biala;Zakopane;4481;121;446
04-03-2017;Piotrkow Trybunalski;Poznan;1749;232;928
08-03-2017;Piotrkow Trybunalski;Konin;1203;146;330
09-03-2017;Konin;Bydgoszcz;4505;118;374
10-03-2017;Bydgoszcz;Wloclawek;1454;95;197
11-03-2017;Wloclawek;Skierniewice;2835;136;418
12-03-2017;Skierniewice;Sieradz;2338;123;215
13-03-2017;Gorzow Wielkopolski;Walbrzych;4154;277;924
16-03-2017;Gubin;Kostrzyn;1767;91;247
18-03-2017;Zamosc;Medyka;2929;152;278
19-03-2017;Medyka;Tarnobrzeg;2151;177;365
20-03-2017;Tarnobrzeg;Kielce;2431;96;409
21-03-2017;Krosno;Tarnobrzeg;1168;143;501
22-03-2017;Tarnobrzeg;Radom;4251;122;227
23-03-2017;Radom;Skierniewice;4347;117;158
24-03-2017;Skierniewice;Wloclawek;5287;127;495
26-03-2017;Tarnow;Katowice;5177;147;443
27-03-2017;Gubin;Gorzow Wielkopolski;3858;155;261
28-03-2017;Gorzow Wielkopolski;Zielona Gora;4637;116;242
29-03-2017;Zielona Gora;Poznan;5212;123;517
30-03-2017;Poznan;Bydgoszcz;1099;128;205
31-03-2017;Bydgoszcz;Wloclawek;4422;105;145
02-04-2017;Chyzne;Bielsko-Biala;2742;109;117
03-04-2017;Bielsko-Biala;Chyzne;2100;115;172
04-04-2017;Chyzne;Bielsko-Biala;5626;123;377
05-04-2017;Bielsko-Biala;Chyzne;1629;109;258
06-04-2017;Chyzne;Cieszyn;4787;155;354
07-04-2017;Barwinek;Medyka;4678;182;254
08-04-2017;Medyka;Zamosc;5869;152;599
09-04-2017;Rzeszow;Zamosc;2678;178;481
10-04-2017;Konin;Walbrzych;3193;241;507
11-04-2017;Jakuszyce;Kostrzyn;1011;211;536
12-04-2017;Kostrzyn;Szczecin;3398;122;163
14-04-2017;Zgorzelec;Wroclaw;5416;156;349
15-04-2017;Ostroleka;Krakow;3914;417;888
16-04-2017;Krakow;Kielce;5805;145;301
17-04-2017;Kielce;Krakow;4033;136;297
19-04-2017;Zamosc;Biala Podlaska;1021;184;660
21-04-2017;Przemysl;Medyka;5162;17;28
22-04-2017;Medyka;Zamosc;2050;162;569
24-04-2017;Walbrzych;Opole;5312;153;356
26-04-2017;Szczecin;Sieradz;2443;392;1392
28-04-2017;Przemysl;Barwinek;1161;174;323
29-04-2017;Barwinek;Tarnow;3435;146;530
30-04-2017;Chalupki;Czestochowa;3358;168;569
01-05-2017;Zgorzelec;Swiecko;2719;152;240
